1,2.310,8.594
11,2.171,19.105
21,2.127,22.024
31,2.100,22.606
41,2.067,24.409
51,2.040,25.169
61,2.006,26.422
71,1.981,27.553
81,1.971,27.971
91,1.963,28.443
101,1.955,28.775
111,1.947,28.970
121,1.935,29.526
131,1.924,29.890
141,1.912,30.181
151,1.904,30.588
161,1.898,30.876
171,1.892,31.131
181,1.889,31.388
191,1.880,31.679
201,1.873,31.961
211,1.869,32.194
221,1.864,32.399
231,1.860,32.572
241,1.854,32.774
251,1.850,32.956
261,1.845,33.196
271,1.838,33.369
281,1.837,33.410
291,1.834,33.529
301,1.833,33.617
311,1.830,33.699
321,1.827,33.737
331,1.823,33.842
341,1.821,33.956
351,1.817,34.070
361,1.813,34.226
371,1.810,34.377
381,1.807,34.502
391,1.804,34.640
392,1.579,45.312
402,1.658,40.199
412,1.680,39.881
422,1.687,39.012
432,1.674,39.520
442,1.675,39.614
452,1.680,39.344
462,1.682,39.415
472,1.685,39.284
482,1.688,39.337
492,1.685,39.480
502,1.686,39.464
512,1.685,39.360
522,1.681,39.635
532,1.679,39.594
542,1.673,39.782
552,1.673,39.800
562,1.671,39.807
572,1.668,39.900
582,1.664,40.032
592,1.661,40.143
602,1.659,40.155
612,1.656,40.296
622,1.653,40.429
632,1.650,40.479
642,1.649,40.569
652,1.651,40.574
662,1.651,40.527
672,1.649,40.589
682,1.647,40.703
692,1.648,40.661
702,1.645,40.796
712,1.643,40.808
722,1.643,40.804
732,1.641,40.866
742,1.641,40.870
752,1.640,40.850
762,1.639,40.911
772,1.637,40.955
782,1.636,40.990
783,1.636,35.938
793,1.564,43.750
803,1.563,44.010
813,1.574,43.548
823,1.579,43.407
833,1.577,43.612
843,1.570,43.584
853,1.565,44.047
863,1.567,43.750
873,1.566,43.750
883,1.568,43.673
893,1.570,43.637
903,1.570,43.666
913,1.565,43.774
923,1.568,43.672
933,1.566,43.729
943,1.567,43.692
953,1.567,43.622
963,1.564,43.685
973,1.565,43.644
983,1.566,43.575
993,1.565,43.554
1003,1.565,43.598
1013,1.565,43.632
1023,1.565,43.630
1033,1.565,43.703
1043,1.564,43.738
1053,1.563,43.796
1063,1.563,43.772
1073,1.564,43.737
1083,1.564,43.677
1093,1.562,43.763
1103,1.561,43.825
1113,1.561,43.913
1123,1.561,43.878
1133,1.561,43.859
1143,1.562,43.808
1153,1.562,43.805
1163,1.561,43.830
1173,1.559,43.910
1174,1.645,39.844
1184,1.542,43.182
1194,1.522,44.048
1204,1.546,43.926
1214,1.550,43.941
1224,1.550,43.796
1234,1.545,43.942
1244,1.543,43.970
1254,1.534,44.416
1264,1.535,44.531
1274,1.530,44.802
1284,1.529,44.904
1294,1.527,44.990
1304,1.524,45.146
1314,1.524,45.240
1324,1.526,45.199
1334,1.529,45.128
1344,1.527,45.166
1354,1.526,45.230
1364,1.525,45.218
1374,1.525,45.270
1384,1.522,45.335
1394,1.522,45.366
1404,1.521,45.380
1414,1.519,45.494
1424,1.517,45.574
1434,1.519,45.483
1444,1.518,45.572
1454,1.518,45.557
1464,1.519,45.457
1474,1.517,45.484
1484,1.516,45.541
1494,1.515,45.568
1504,1.514,45.605
1514,1.515,45.553
1524,1.516,45.528
1534,1.514,45.618
1544,1.514,45.628
1554,1.514,45.651
1564,1.515,45.622
1565,1.498,49.219
