
1,2.369,7.031
11,2.192,19.176
21,2.088,23.214
31,2.016,26.008
41,1.956,28.716
51,1.909,30.653
61,1.869,32.018
71,1.830,33.297
81,1.800,34.433
91,1.782,35.053
101,1.761,35.582
111,1.743,36.289
121,1.724,36.996
131,1.706,37.649
141,1.690,38.159
151,1.677,38.524
161,1.661,39.116
171,1.649,39.647
181,1.639,39.952
191,1.625,40.445
201,1.615,40.862
211,1.605,41.229
221,1.596,41.583
231,1.585,42.069
241,1.573,42.541
251,1.561,43.006
261,1.553,43.331
271,1.543,43.701
281,1.535,43.986
291,1.529,44.239
301,1.523,44.448
311,1.515,44.767
321,1.507,45.101
331,1.500,45.393
341,1.493,45.665
351,1.484,46.029
361,1.477,46.276
371,1.469,46.603
381,1.462,46.918
391,1.454,47.172
392,1.102,56.250
402,1.182,56.534
412,1.192,56.920
422,1.186,57.712
432,1.173,58.308
442,1.162,58.931
452,1.160,59.298
462,1.164,58.924
472,1.160,58.922
482,1.150,59.238
492,1.148,59.290
502,1.150,59.269
512,1.146,59.407
522,1.146,59.315
532,1.143,59.386
542,1.145,59.318
552,1.143,59.467
562,1.141,59.453
572,1.138,59.509
582,1.137,59.665
592,1.135,59.674
602,1.133,59.756
612,1.134,59.661
622,1.133,59.788
632,1.130,59.858
642,1.126,60.010
652,1.123,60.138
662,1.121,60.223
672,1.120,60.309
682,1.117,60.355
692,1.114,60.478
702,1.111,60.649
712,1.110,60.645
722,1.108,60.739
732,1.107,60.773
742,1.104,60.864
752,1.102,60.896
762,1.101,60.961
772,1.097,61.112
782,1.095,61.166
783,1.010,69.531
793,1.030,64.347
803,1.034,64.658
813,1.010,64.869
823,1.009,64.691
833,0.998,64.798
843,0.994,64.831
853,0.990,64.899
863,0.987,64.950
873,0.983,65.076
883,0.976,65.261
893,0.978,65.224
903,0.978,65.270
913,0.981,65.214
923,0.980,65.221
933,0.981,65.133
943,0.974,65.441
953,0.971,65.497
963,0.968,65.578
973,0.970,65.494
983,0.967,65.664
993,0.968,65.640
1003,0.965,65.738
1013,0.964,65.804
1023,0.962,65.891
1033,0.960,65.989
1043,0.957,66.137
1053,0.957,66.155
1063,0.958,66.117
1073,0.959,66.124
1083,0.957,66.206
1093,0.955,66.301
1103,0.954,66.333
1113,0.953,66.352
1123,0.953,66.379
1133,0.951,66.415
1143,0.949,66.530
1153,0.948,66.571
1163,0.947,66.570
1173,0.946,66.622
1174,0.801,70.312
1184,0.848,69.886
1194,0.886,69.122
1204,0.877,69.002
1214,0.881,68.921
1224,0.884,68.873
1234,0.885,68.763
1244,0.895,68.387
1254,0.891,68.576
1264,0.884,68.887
1274,0.892,68.533
1284,0.887,68.680
1294,0.886,68.673
1304,0.886,68.756
1314,0.884,68.805
1324,0.882,68.828
1334,0.878,68.939
1344,0.878,68.946
1354,0.879,68.901
1364,0.878,68.963
1374,0.878,69.080
1384,0.877,69.124
1394,0.875,69.277
1404,0.876,69.308
1414,0.876,69.324
1424,0.876,69.323
1434,0.875,69.397
1444,0.873,69.436
1454,0.874,69.420
1464,0.873,69.459
1474,0.871,69.510
1484,0.869,69.571
1494,0.870,69.502
1504,0.868,69.619
1514,0.867,69.660
1524,0.865,69.683
1534,0.863,69.737
1544,0.863,69.727
1554,0.863,69.706
1564,0.863,69.674
1565,0.805,73.438
1575,0.819,71.236
1585,0.834,70.499
1595,0.833,70.439
1605,0.832,70.617
1615,0.834,70.650
1625,0.828,70.876
1635,0.833,70.654
1645,0.830,70.698
1655,0.831,70.587
1665,0.826,70.769
1675,0.824,70.812
1685,0.824,70.829
1695,0.823,70.974
1705,0.818,71.166
1715,0.819,71.135
1725,0.821,71.118
1735,0.819,71.245
1745,0.820,71.210
1755,0.820,71.184
1765,0.817,71.315
1775,0.817,71.257
1785,0.817,71.271
1795,0.817,71.249
1805,0.818,71.240
1815,0.820,71.137
1825,0.821,71.130
1835,0.820,71.114
1845,0.820,71.122
1855,0.819,71.147
1865,0.819,71.140
1875,0.819,71.164
1885,0.819,71.206
1895,0.818,71.280
1905,0.818,71.323
1915,0.817,71.278
1925,0.817,71.314
1935,0.815,71.405
1945,0.814,71.461
1955,0.814,71.480
1956,0.707,79.688
1966,0.759,74.077
1976,0.764,74.219
1986,0.763,73.765
1996,0.775,73.190
2006,0.778,73.208
2016,0.785,73.040
2026,0.793,72.722
2036,0.791,72.724
2046,0.795,72.562
2056,0.791,72.563
2066,0.789,72.572
2076,0.789,72.611
2086,0.792,72.477
2096,0.790,72.401
2106,0.785,72.620
2116,0.785,72.656
2126,0.783,72.679
2136,0.781,72.799
2146,0.779,72.853
2156,0.777,72.905
2166,0.776,72.834
2176,0.777,72.776
2186,0.778,72.704
2196,0.777,72.689
2206,0.779,72.610
2216,0.777,72.692
2226,0.779,72.613
2236,0.778,72.715
2246,0.775,72.785
2256,0.775,72.768
2266,0.775,72.714
2276,0.774,72.824
2286,0.773,72.852
2296,0.773,72.833
2306,0.772,72.841
2316,0.771,72.849
2326,0.771,72.846
2336,0.770,72.872
2346,0.769,72.906
2347,0.792,73.438
2357,0.739,73.224
2367,0.781,72.024
2377,0.788,71.673
2387,0.768,72.046
2397,0.766,72.243
2407,0.754,72.848
2417,0.752,73.151
2427,0.751,73.023
2437,0.750,73.231
2447,0.747,73.461
2457,0.747,73.438
2467,0.746,73.450
2477,0.750,73.306
2487,0.751,73.160
2497,0.748,73.308
2507,0.748,73.365
2517,0.749,73.332
2527,0.751,73.368
2537,0.747,73.462
2547,0.744,73.531
2557,0.745,73.500
2567,0.746,73.476
2577,0.745,73.590
2587,0.742,73.720
2597,0.743,73.665
2607,0.742,73.713
2617,0.742,73.691
2627,0.740,73.782
2637,0.739,73.838
2647,0.738,73.892
2657,0.738,73.885
2667,0.738,73.878
2677,0.739,73.803
2687,0.739,73.836
2697,0.739,73.843
2707,0.740,73.827
2717,0.740,73.800
2727,0.741,73.776
2737,0.740,73.816
2738,0.688,72.656
2748,0.758,74.432
2758,0.725,75.260
2768,0.709,75.882
2778,0.705,75.838
2788,0.703,75.597
2798,0.705,75.538
2808,0.707,75.440
2818,0.708,75.473
2828,0.702,75.558
2838,0.705,75.456
2848,0.706,75.394
2858,0.705,75.310
2868,0.704,75.340
2878,0.703,75.404
2888,0.703,75.347
2898,0.704,75.349
2908,0.705,75.302
2918,0.706,75.255
2928,0.706,75.254
2938,0.705,75.233
2948,0.702,75.392
2958,0.702,75.361
2968,0.698,75.534
2978,0.699,75.489
2988,0.700,75.504
2998,0.701,75.485
3008,0.700,75.519
3018,0.699,75.548
3028,0.700,75.534
3038,0.700,75.522
3048,0.702,75.462
3058,0.703,75.431
3068,0.705,75.397
3078,0.703,75.415
3088,0.702,75.463
3098,0.702,75.470
3108,0.702,75.476
3118,0.702,75.482
3128,0.702,75.490
3129,0.749,74.219
3139,0.665,76.847
3149,0.670,76.562
3159,0.668,76.436
3169,0.674,76.467
3179,0.668,76.501
3189,0.677,76.191
3199,0.684,76.023
3209,0.687,76.013
3219,0.689,76.013
3229,0.687,76.037
3239,0.679,76.387
3249,0.675,76.466
3259,0.671,76.562
3269,0.672,76.424
3279,0.672,76.293
3289,0.673,76.325
3299,0.674,76.316
3309,0.674,76.394
3319,0.674,76.395
3329,0.674,76.399
3339,0.673,76.477
3349,0.673,76.485
3359,0.674,76.387
3369,0.676,76.423
3379,0.674,76.506
3389,0.673,76.554
3399,0.672,76.586
3409,0.671,76.588
3419,0.670,76.622
3429,0.671,76.627
3439,0.672,76.585
3449,0.671,76.606
3459,0.672,76.572
3469,0.673,76.514
3479,0.673,76.529
3489,0.674,76.511
3499,0.673,76.529
3509,0.672,76.579
3519,0.672,76.580
3520,0.592,81.250
3530,0.648,77.983
3540,0.650,77.902
3550,0.642,78.175
3560,0.642,78.182
3570,0.650,77.926
3580,0.654,77.638
3590,0.656,77.542
3600,0.656,77.431
3610,0.653,77.515
3620,0.654,77.468
3630,0.654,77.414
3640,0.654,77.324
3650,0.656,77.123
3660,0.654,77.139
3670,0.656,77.054
3680,0.656,77.023
3690,0.659,77.038
3700,0.660,77.007
3710,0.662,76.902
3720,0.662,76.967
3730,0.660,77.066
3740,0.661,77.001
3750,0.660,77.006
3760,0.659,77.003
3770,0.657,77.048
3780,0.659,77.000
3790,0.658,77.004
3800,0.657,77.052
3810,0.659,77.022
3820,0.660,77.012
3830,0.658,77.057
3840,0.658,77.054
3850,0.658,77.063
3860,0.658,77.016
3870,0.657,77.041
3880,0.657,77.065
3890,0.656,77.095
3900,0.656,77.137
3910,0.655,77.160
