FC
Epoch: 1
[epoch:3, iter:953] Loss: 1.567 | Acc: 43.622%
[epoch:3, iter:963] Loss: 1.564 | Acc: 43.685%
[epoch:3, iter:973] Loss: 1.565 | Acc: 43.644%
[epoch:3, iter:983] Loss: 1.566 | Acc: 43.575%
[epoch:3, iter:993] Loss: 1.565 | Acc: 43.554%
[epoch:3, iter:1003] Loss: 1.565 | Acc: 43.598%
[epoch:3, iter:1013] Loss: 1.565 | Acc: 43.632%
[epoch:3, iter:1023] Loss: 1.565 | Acc: 43.630%
[epoch:3, iter:1033] Loss: 1.565 | Acc: 43.703%
[epoch:3, iter:1043] Loss: 1.564 | Acc: 43.738%
[epoch:3, iter:1053] Loss: 1.563 | Acc: 43.796%
[epoch:3, iter:1063] Loss: 1.563 | Acc: 43.772%
[epoch:3, iter:1073] Loss: 1.564 | Acc: 43.737%
[epoch:3, iter:1083] Loss: 1.564 | Acc: 43.677%
[epoch:3, iter:1093] Loss: 1.562 | Acc: 43.763%
[epoch:3, iter:1103] Loss: 1.561 | Acc: 43.825%
[epoch:3, iter:1113] Loss: 1.561 | Acc: 43.913%
[epoch:3, iter:1123] Loss: 1.561 | Acc: 43.878%
[epoch:3, iter:1133] Loss: 1.561 | Acc: 43.859%
[epoch:3, iter:1143] Loss: 1.562 | Acc: 43.808%
[epoch:3, iter:1153] Loss: 1.562 | Acc: 43.805%
[epoch:3, iter:1163] Loss: 1.561 | Acc: 43.830%
[epoch:3, iter:1173] Loss: 1.559 | Acc: 43.910%
Waiting Test...
Test's ac is: 42.920%

Epoch: 4
[epoch:4, iter:1174] Loss: 1.645 | Acc: 39.844%
[epoch:4, iter:1184] Loss: 1.542 | Acc: 43.182%
[epoch:4, iter:1194] Loss: 1.522 | Acc: 44.048%
[epoch:4, iter:1204] Loss: 1.546 | Acc: 43.926%
[epoch:4, iter:1214] Loss: 1.550 | Acc: 43.941%
[epoch:4, iter:1224] Loss: 1.550 | Acc: 43.796%
[epoch:4, iter:1234] Loss: 1.545 | Acc: 43.942%
[epoch:4, iter:1244] Loss: 1.543 | Acc: 43.970%
[epoch:4, iter:1254] Loss: 1.534 | Acc: 44.416%
[epoch:4, iter:1264] Loss: 1.535 | Acc: 44.531%
[epoch:4, iter:1274] Loss: 1.530 | Acc: 44.802%
[epoch:4, iter:1284] Loss: 1.529 | Acc: 44.904%
[epoch:4, iter:1294] Loss: 1.527 | Acc: 44.990%
[epoch:4, iter:1304] Loss: 1.524 | Acc: 45.146%
[epoch:4, iter:1314] Loss: 1.524 | Acc: 45.240%
[epoch:4, iter:1324] Loss: 1.526 | Acc: 45.199%
[epoch:4, iter:1334] Loss: 1.529 | Acc: 45.128%
[epoch:4, iter:1344] Loss: 1.527 | Acc: 45.166%
[epoch:4, iter:1354] Loss: 1.526 | Acc: 45.230%
[epoch:4, iter:1364] Loss: 1.525 | Acc: 45.218%
[epoch:4, iter:1374] Loss: 1.525 | Acc: 45.270%
[epoch:4, iter:1384] Loss: 1.522 | Acc: 45.335%
[epoch:4, iter:1394] Loss: 1.522 | Acc: 45.366%
[epoch:4, iter:1404] Loss: 1.521 | Acc: 45.380%
[epoch:4, iter:1414] Loss: 1.519 | Acc: 45.494%
[epoch:4, iter:1424] Loss: 1.517 | Acc: 45.574%
[epoch:4, iter:1434] Loss: 1.519 | Acc: 45.483%
[epoch:4, iter:1444] Loss: 1.518 | Acc: 45.572%
[epoch:4, iter:1454] Loss: 1.518 | Acc: 45.557%
[epoch:4, iter:1464] Loss: 1.519 | Acc: 45.457%
[epoch:4, iter:1474] Loss: 1.517 | Acc: 45.484%
[epoch:4, iter:1484] Loss: 1.516 | Acc: 45.541%
[epoch:4, iter:1494] Loss: 1.515 | Acc: 45.568%
[epoch:4, iter:1504] Loss: 1.514 | Acc: 45.605%
[epoch:4, iter:1514] Loss: 1.515 | Acc: 45.553%
[epoch:4, iter:1524] Loss: 1.516 | Acc: 45.528%
[epoch:4, iter:1534] Loss: 1.514 | Acc: 45.618%
[epoch:4, iter:1544] Loss: 1.514 | Acc: 45.628%
[epoch:4, iter:1554] Loss: 1.514 | Acc: 45.651%
[epoch:4, iter:1564] Loss: 1.515 | Acc: 45.622%
Waiting Test...
Test's ac is: 45.460%

Epoch: 5
[epoch:5, iter:1565] Loss: 1.498 | Acc: 49.219%
[epoch:5, iter:1575] Loss: 1.488 | Acc: 44.318%
[epoch:5, iter:1585] Loss: 1.500 | Acc: 44.531%
[epoch:5, iter:1595] Loss: 1.493 | Acc: 45.388%
[epoch:5, iter:1605] Loss: 1.491 | Acc: 45.941%
[epoch:5, iter:1615] Loss: 1.491 | Acc: 46.492%
[epoch:5, iter:1625] Loss: 1.490 | Acc: 46.452%
[epoch:5, iter:1635] Loss: 1.497 | Acc: 46.270%
[epoch:5, iter:1645] Loss: 1.499 | Acc: 46.142%
[epoch:5, iter:1655] Loss: 1.497 | Acc: 46.240%
[epoch:5, iter:1665] Loss: 1.492 | Acc: 46.287%
[epoch:5, iter:1675] Loss: 1.490 | Acc: 46.291%
[epoch:5, iter:1685] Loss: 1.491 | Acc: 46.275%
[epoch:5, iter:1695] Loss: 1.489 | Acc: 46.320%
[epoch:5, iter:1705] Loss: 1.487 | Acc: 46.393%
[epoch:5, iter:1715] Loss: 1.489 | Acc: 46.264%
[epoch:5, iter:1725] Loss: 1.489 | Acc: 46.215%
[epoch:5, iter:1735] Loss: 1.489 | Acc: 46.231%
[epoch:5, iter:1745] Loss: 1.487 | Acc: 46.340%
[epoch:5, iter:1755] Loss: 1.484 | Acc: 46.380%
[epoch:5, iter:1765] Loss: 1.485 | Acc: 46.385%
[epoch:5, iter:1775] Loss: 1.484 | Acc: 46.405%
[epoch:5, iter:1785] Loss: 1.482 | Acc: 46.451%
[epoch:5, iter:1795] Loss: 1.482 | Acc: 46.405%
[epoch:5, iter:1805] Loss: 1.482 | Acc: 46.421%
[epoch:5, iter:1815] Loss: 1.482 | Acc: 46.473%
[epoch:5, iter:1825] Loss: 1.482 | Acc: 46.522%
[epoch:5, iter:1835] Loss: 1.481 | Acc: 46.569%
[epoch:5, iter:1845] Loss: 1.482 | Acc: 46.522%
[epoch:5, iter:1855] Loss: 1.482 | Acc: 46.491%
[epoch:5, iter:1865] Loss: 1.482 | Acc: 46.493%
[epoch:5, iter:1875] Loss: 1.480 | Acc: 46.518%
[epoch:5, iter:1885] Loss: 1.481 | Acc: 46.490%
[epoch:5, iter:1895] Loss: 1.481 | Acc: 46.528%
[epoch:5, iter:1905] Loss: 1.480 | Acc: 46.529%
[epoch:5, iter:1915] Loss: 1.480 | Acc: 46.541%
[epoch:5, iter:1925] Loss: 1.480 | Acc: 46.509%
[epoch:5, iter:1935] Loss: 1.479 | Acc: 46.546%
[epoch:5, iter:1945] Loss: 1.480 | Acc: 46.535%
[epoch:5, iter:1955] Loss: 1.479 | Acc: 46.572%
Waiting Test...
Test's ac is: 46.070%

Epoch: 6
[epoch:6, iter:1956] Loss: 1.547 | Acc: 45.312%
[epoch:6, iter:1966] Loss: 1.461 | Acc: 47.230%
[epoch:6, iter:1976] Loss: 1.466 | Acc: 47.247%
[epoch:6, iter:1986] Loss: 1.479 | Acc: 46.825%
[epoch:6, iter:1996] Loss: 1.471 | Acc: 46.665%
[epoch:6, iter:2006] Loss: 1.470 | Acc: 46.783%
[epoch:6, iter:2016] Loss: 1.474 | Acc: 46.632%
[epoch:6, iter:2026] Loss: 1.470 | Acc: 47.106%
[epoch:6, iter:2036] Loss: 1.470 | Acc: 47.242%
[epoch:6, iter:2046] Loss: 1.462 | Acc: 47.682%
[epoch:6, iter:2056] Loss: 1.469 | Acc: 47.494%
[epoch:6, iter:2066] Loss: 1.466 | Acc: 47.501%
[epoch:6, iter:2076] Loss: 1.465 | Acc: 47.495%
[epoch:6, iter:2086] Loss: 1.463 | Acc: 47.501%
[epoch:6, iter:2096] Loss: 1.464 | Acc: 47.407%
[epoch:6, iter:2106] Loss: 1.465 | Acc: 47.139%
[epoch:6, iter:2116] Loss: 1.467 | Acc: 47.089%
[epoch:6, iter:2126] Loss: 1.468 | Acc: 47.167%
[epoch:6, iter:2136] Loss: 1.469 | Acc: 47.086%
[epoch:6, iter:2146] Loss: 1.467 | Acc: 47.120%
[epoch:6, iter:2156] Loss: 1.467 | Acc: 47.003%
[epoch:6, iter:2166] Loss: 1.466 | Acc: 47.082%
[epoch:6, iter:2176] Loss: 1.465 | Acc: 47.105%
[epoch:6, iter:2186] Loss: 1.464 | Acc: 47.169%
[epoch:6, iter:2196] Loss: 1.461 | Acc: 47.245%
[epoch:6, iter:2206] Loss: 1.459 | Acc: 47.292%
[epoch:6, iter:2216] Loss: 1.459 | Acc: 47.321%
[epoch:6, iter:2226] Loss: 1.459 | Acc: 47.342%
[epoch:6, iter:2236] Loss: 1.461 | Acc: 47.328%
[epoch:6, iter:2246] Loss: 1.461 | Acc: 47.329%
[epoch:6, iter:2256] Loss: 1.459 | Acc: 47.404%
[epoch:6, iter:2266] Loss: 1.461 | Acc: 47.400%
[epoch:6, iter:2276] Loss: 1.461 | Acc: 47.391%
[epoch:6, iter:2286] Loss: 1.461 | Acc: 47.378%
[epoch:6, iter:2296] Loss: 1.460 | Acc: 47.395%
[epoch:6, iter:2306] Loss: 1.461 | Acc: 47.369%
[epoch:6, iter:2316] Loss: 1.461 | Acc: 47.353%
[epoch:6, iter:2326] Loss: 1.461 | Acc: 47.313%
[epoch:6, iter:2336] Loss: 1.459 | Acc: 47.416%
[epoch:6, iter:2346] Loss: 1.459 | Acc: 47.444%
Waiting Test...
Test's ac is: 46.720%

Epoch: 7
[epoch:7, iter:2347] Loss: 1.480 | Acc: 44.531%
[epoch:7, iter:2357] Loss: 1.439 | Acc: 48.722%
[epoch:7, iter:2367] Loss: 1.432 | Acc: 48.475%
[epoch:7, iter:2377] Loss: 1.439 | Acc: 47.984%
[epoch:7, iter:2387] Loss: 1.434 | Acc: 48.228%
[epoch:7, iter:2397] Loss: 1.423 | Acc: 48.545%
[epoch:7, iter:2407] Loss: 1.429 | Acc: 48.169%
[epoch:7, iter:2417] Loss: 1.430 | Acc: 48.063%
[epoch:7, iter:2427] Loss: 1.433 | Acc: 47.695%
[epoch:7, iter:2437] Loss: 1.438 | Acc: 47.734%
[epoch:7, iter:2447] Loss: 1.436 | Acc: 47.842%
[epoch:7, iter:2457] Loss: 1.437 | Acc: 47.776%
[epoch:7, iter:2467] Loss: 1.434 | Acc: 48.018%
[epoch:7, iter:2477] Loss: 1.431 | Acc: 48.080%
[epoch:7, iter:2487] Loss: 1.434 | Acc: 48.127%
[epoch:7, iter:2497] Loss: 1.432 | Acc: 48.163%
[epoch:7, iter:2507] Loss: 1.433 | Acc: 48.219%
[epoch:7, iter:2517] Loss: 1.433 | Acc: 48.150%
[epoch:7, iter:2527] Loss: 1.433 | Acc: 48.243%
[epoch:7, iter:2537] Loss: 1.430 | Acc: 48.438%
[epoch:7, iter:2547] Loss: 1.430 | Acc: 48.449%
[epoch:7, iter:2557] Loss: 1.430 | Acc: 48.515%
[epoch:7, iter:2567] Loss: 1.428 | Acc: 48.501%
[epoch:7, iter:2577] Loss: 1.428 | Acc: 48.515%
[epoch:7, iter:2587] Loss: 1.430 | Acc: 48.431%
[epoch:7, iter:2597] Loss: 1.432 | Acc: 48.372%
[epoch:7, iter:2607] Loss: 1.432 | Acc: 48.458%
[epoch:7, iter:2617] Loss: 1.432 | Acc: 48.458%
[epoch:7, iter:2627] Loss: 1.431 | Acc: 48.476%
[epoch:7, iter:2637] Loss: 1.433 | Acc: 48.405%
[epoch:7, iter:2647] Loss: 1.431 | Acc: 48.479%
[epoch:7, iter:2657] Loss: 1.432 | Acc: 48.448%
[epoch:7, iter:2667] Loss: 1.430 | Acc: 48.489%
[epoch:7, iter:2677] Loss: 1.431 | Acc: 48.499%
[epoch:7, iter:2687] Loss: 1.431 | Acc: 48.504%
[epoch:7, iter:2697] Loss: 1.431 | Acc: 48.555%
[epoch:7, iter:2707] Loss: 1.432 | Acc: 48.507%
[epoch:7, iter:2717] Loss: 1.432 | Acc: 48.507%
[epoch:7, iter:2727] Loss: 1.432 | Acc: 48.513%
[epoch:7, iter:2737] Loss: 1.433 | Acc: 48.502%
Waiting Test...
Test's ac is: 45.800%

Epoch: 8
[epoch:8, iter:2738] Loss: 1.350 | Acc: 54.688%
[epoch:8, iter:2748] Loss: 1.374 | Acc: 50.852%
[epoch:8, iter:2758] Loss: 1.376 | Acc: 51.004%
[epoch:8, iter:2768] Loss: 1.391 | Acc: 50.227%
[epoch:8, iter:2778] Loss: 1.398 | Acc: 49.714%
[epoch:8, iter:2788] Loss: 1.412 | Acc: 49.280%
[epoch:8, iter:2798] Loss: 1.406 | Acc: 49.488%
[epoch:8, iter:2808] Loss: 1.407 | Acc: 49.681%
[epoch:8, iter:2818] Loss: 1.408 | Acc: 49.585%
[epoch:8, iter:2828] Loss: 1.405 | Acc: 49.614%
[epoch:8, iter:2838] Loss: 1.406 | Acc: 49.520%
[epoch:8, iter:2848] Loss: 1.408 | Acc: 49.345%
[epoch:8, iter:2858] Loss: 1.410 | Acc: 49.354%
[epoch:8, iter:2868] Loss: 1.408 | Acc: 49.433%
[epoch:8, iter:2878] Loss: 1.413 | Acc: 49.147%
[epoch:8, iter:2888] Loss: 1.412 | Acc: 49.219%
[epoch:8, iter:2898] Loss: 1.413 | Acc: 49.127%
[epoch:8, iter:2908] Loss: 1.415 | Acc: 49.086%
[epoch:8, iter:2918] Loss: 1.419 | Acc: 49.012%
[epoch:8, iter:2928] Loss: 1.419 | Acc: 48.920%
[epoch:8, iter:2938] Loss: 1.416 | Acc: 48.962%
[epoch:8, iter:2948] Loss: 1.416 | Acc: 49.011%
[epoch:8, iter:2958] Loss: 1.415 | Acc: 49.035%
[epoch:8, iter:2968] Loss: 1.414 | Acc: 49.073%
[epoch:8, iter:2978] Loss: 1.416 | Acc: 49.015%
[epoch:8, iter:2988] Loss: 1.416 | Acc: 49.069%
[epoch:8, iter:2998] Loss: 1.416 | Acc: 49.105%
[epoch:8, iter:3008] Loss: 1.417 | Acc: 49.057%
[epoch:8, iter:3018] Loss: 1.418 | Acc: 48.963%
[epoch:8, iter:3028] Loss: 1.416 | Acc: 49.028%
[epoch:8, iter:3038] Loss: 1.416 | Acc: 49.019%
[epoch:8, iter:3048] Loss: 1.416 | Acc: 49.030%
[epoch:8, iter:3058] Loss: 1.416 | Acc: 49.048%
[epoch:8, iter:3068] Loss: 1.415 | Acc: 49.018%
[epoch:8, iter:3078] Loss: 1.414 | Acc: 49.058%
[epoch:8, iter:3088] Loss: 1.414 | Acc: 49.041%
[epoch:8, iter:3098] Loss: 1.415 | Acc: 49.009%
[epoch:8, iter:3108] Loss: 1.414 | Acc: 49.071%
[epoch:8, iter:3118] Loss: 1.415 | Acc: 49.022%
[epoch:8, iter:3128] Loss: 1.413 | Acc: 49.062%
Waiting Test...
Test's ac is: 46.400%

Epoch: 9
[epoch:9, iter:3129] Loss: 1.346 | Acc: 48.438%
[epoch:9, iter:3139] Loss: 1.319 | Acc: 51.420%
[epoch:9, iter:3149] Loss: 1.341 | Acc: 51.600%
[epoch:9, iter:3159] Loss: 1.352 | Acc: 51.210%
[epoch:9, iter:3169] Loss: 1.360 | Acc: 50.762%
[epoch:9, iter:3179] Loss: 1.363 | Acc: 50.781%
[epoch:9, iter:3189] Loss: 1.367 | Acc: 50.615%
[epoch:9, iter:3199] Loss: 1.371 | Acc: 50.495%
[epoch:9, iter:3209] Loss: 1.368 | Acc: 50.492%
[epoch:9, iter:3219] Loss: 1.374 | Acc: 50.429%
[epoch:9, iter:3229] Loss: 1.378 | Acc: 50.379%
[epoch:9, iter:3239] Loss: 1.377 | Acc: 50.472%
[epoch:9, iter:3249] Loss: 1.380 | Acc: 50.400%
[epoch:9, iter:3259] Loss: 1.379 | Acc: 50.310%
[epoch:9, iter:3269] Loss: 1.382 | Acc: 50.238%
[epoch:9, iter:3279] Loss: 1.383 | Acc: 50.191%
[epoch:9, iter:3289] Loss: 1.387 | Acc: 50.039%
[epoch:9, iter:3299] Loss: 1.388 | Acc: 49.963%
[epoch:9, iter:3309] Loss: 1.387 | Acc: 50.026%
[epoch:9, iter:3319] Loss: 1.388 | Acc: 49.984%
[epoch:9, iter:3329] Loss: 1.391 | Acc: 49.973%
[epoch:9, iter:3339] Loss: 1.394 | Acc: 49.874%
[epoch:9, iter:3349] Loss: 1.395 | Acc: 49.855%
[epoch:9, iter:3359] Loss: 1.396 | Acc: 49.875%
[epoch:9, iter:3369] Loss: 1.395 | Acc: 49.861%
[epoch:9, iter:3379] Loss: 1.395 | Acc: 49.816%
[epoch:9, iter:3389] Loss: 1.393 | Acc: 49.871%
[epoch:9, iter:3399] Loss: 1.392 | Acc: 49.939%
[epoch:9, iter:3409] Loss: 1.392 | Acc: 50.006%
[epoch:9, iter:3419] Loss: 1.391 | Acc: 50.054%
[epoch:9, iter:3429] Loss: 1.390 | Acc: 50.158%
[epoch:9, iter:3439] Loss: 1.390 | Acc: 50.161%
[epoch:9, iter:3449] Loss: 1.391 | Acc: 50.090%
[epoch:9, iter:3459] Loss: 1.390 | Acc: 50.080%
[epoch:9, iter:3469] Loss: 1.389 | Acc: 50.078%
[epoch:9, iter:3479] Loss: 1.389 | Acc: 50.109%
[epoch:9, iter:3489] Loss: 1.389 | Acc: 50.076%
[epoch:9, iter:3499] Loss: 1.388 | Acc: 50.093%
[epoch:9, iter:3509] Loss: 1.389 | Acc: 50.070%
[epoch:9, iter:3519] Loss: 1.389 | Acc: 50.096%
Waiting Test...
Test's ac is: 47.230%

Epoch: 10
[epoch:10, iter:3520] Loss: 1.352 | Acc: 48.438%
[epoch:10, iter:3530] Loss: 1.332 | Acc: 49.574%
[epoch:10, iter:3540] Loss: 1.362 | Acc: 50.484%
[epoch:10, iter:3550] Loss: 1.370 | Acc: 50.277%
[epoch:10, iter:3560] Loss: 1.385 | Acc: 49.714%
[epoch:10, iter:3570] Loss: 1.389 | Acc: 49.694%
[epoch:10, iter:3580] Loss: 1.391 | Acc: 49.936%
[epoch:10, iter:3590] Loss: 1.392 | Acc: 50.066%
[epoch:10, iter:3600] Loss: 1.389 | Acc: 50.116%
[epoch:10, iter:3610] Loss: 1.387 | Acc: 50.172%
[epoch:10, iter:3620] Loss: 1.384 | Acc: 50.178%
[epoch:10, iter:3630] Loss: 1.385 | Acc: 50.014%
[epoch:10, iter:3640] Loss: 1.388 | Acc: 50.045%
[epoch:10, iter:3650] Loss: 1.387 | Acc: 50.143%
[epoch:10, iter:3660] Loss: 1.383 | Acc: 50.211%
[epoch:10, iter:3670] Loss: 1.382 | Acc: 50.217%
[epoch:10, iter:3680] Loss: 1.379 | Acc: 50.306%
[epoch:10, iter:3690] Loss: 1.382 | Acc: 50.270%
[epoch:10, iter:3700] Loss: 1.381 | Acc: 50.302%
[epoch:10, iter:3710] Loss: 1.380 | Acc: 50.327%
[epoch:10, iter:3720] Loss: 1.378 | Acc: 50.501%
[epoch:10, iter:3730] Loss: 1.380 | Acc: 50.396%
[epoch:10, iter:3740] Loss: 1.380 | Acc: 50.339%
[epoch:10, iter:3750] Loss: 1.382 | Acc: 50.237%
[epoch:10, iter:3760] Loss: 1.380 | Acc: 50.337%
[epoch:10, iter:3770] Loss: 1.382 | Acc: 50.364%
[epoch:10, iter:3780] Loss: 1.381 | Acc: 50.359%
[epoch:10, iter:3790] Loss: 1.380 | Acc: 50.424%
[epoch:10, iter:3800] Loss: 1.379 | Acc: 50.423%
[epoch:10, iter:3810] Loss: 1.380 | Acc: 50.416%
[epoch:10, iter:3820] Loss: 1.380 | Acc: 50.467%
[epoch:10, iter:3830] Loss: 1.380 | Acc: 50.472%
[epoch:10, iter:3840] Loss: 1.380 | Acc: 50.499%
[epoch:10, iter:3850] Loss: 1.380 | Acc: 50.517%
[epoch:10, iter:3860] Loss: 1.380 | Acc: 50.486%
[epoch:10, iter:3870] Loss: 1.380 | Acc: 50.492%
[epoch:10, iter:3880] Loss: 1.381 | Acc: 50.465%
[epoch:10, iter:3890] Loss: 1.380 | Acc: 50.484%
[epoch:10, iter:3900] Loss: 1.381 | Acc: 50.433%
[epoch:10, iter:3910] Loss: 1.382 | Acc: 50.406%
Waiting Test...
Test's ac is: 48.510%
CNN: resnet18

Epoch: 1
[epoch:1, iter:1] Loss: 2.369 | Acc: 7.031%
[epoch:1, iter:11] Loss: 2.192 | Acc: 19.176%
[epoch:1, iter:21] Loss: 2.088 | Acc: 23.214%
[epoch:1, iter:31] Loss: 2.016 | Acc: 26.008%
[epoch:1, iter:41] Loss: 1.956 | Acc: 28.716%
[epoch:1, iter:51] Loss: 1.909 | Acc: 30.653%
[epoch:1, iter:61] Loss: 1.869 | Acc: 32.018%
